userid,study,class,total,average_no_phone,median_no_phone,std_no_phone,average_no_phone,median_no_phone,std_no_phone,max_streak
95,0.10291833754433138,0.0994413666813472,0.2023597042256786,7.484931506849315,4.0,10.234131334577981,7.484931506849315,4.0,10.234131334577981,83.0
97,0.10083215502654087,0.11265385596068705,0.21348601098722791,25.2987012987013,9.0,38.97603823831937,25.2987012987013,9.0,38.97603823831937,243.0
100,0.06328086970631186,0.06884402308708654,0.1321248927933984,14.305555555555555,7.5,19.087982613333278,14.305555555555555,7.5,19.087982613333278,100.0
105,0.11960779768665539,0.052849957117359354,0.17245775480401473,13.861952861952862,9.0,17.074341320820125,13.861952861952862,9.0,17.074341320820125,196.0
106,0.09040124243758837,0.05493613963514986,0.14533738207273822,,,,0.0,0.0,0.0,0.0
107,0.24758350525022602,0.07788414733084537,0.32546765258107135,16.327083333333334,9.0,20.968013731071164,16.327083333333334,9.0,20.968013731071164,154.0
109,0.09596439581836304,0.043114438701003684,0.13907883451936673,6.5107398568019095,3.0,8.85614300379606,6.5107398568019095,3.0,8.85614300379606,70.0
112,0.1655038130780464,0.06189008136111819,0.22739389443916458,,,,0.0,0.0,0.0,0.0
113,0.1383834403467699,0.0013907883451936673,0.13977422869196354,25.894736842105264,10.0,37.8564200221372,25.894736842105264,10.0,37.8564200221372,221.0
114,0.21835377019540575,0.0027815766903873346,0.2211353468857931,25.183229813664596,13.0,31.500477638151107,25.183229813664596,13.0,31.500477638151107,248.0
118,0.1801070907025799,0.08761966574720104,0.26772675644978094,19.448979591836736,9.0,23.965771093164573,19.448979591836736,9.0,23.965771093164573,176.0
119,0.13560186365638255,0.11128624742124661,0.24688811107762915,37.22222222222222,20.0,44.90791675923435,37.22222222222222,20.0,44.90791675923435,218.0
120,0.11960779768665539,0.04520062121879419,0.16480841890544956,11.666666666666666,5.0,16.624947786050004,11.666666666666666,5.0,16.624947786050004,161.0
124,0.09318281912797571,0.05493613963514986,0.14811895876312559,6.4505050505050505,4.0,9.680401671036215,6.4505050505050505,4.0,9.680401671036215,111.0
126,0.21974455854059943,0.0,0.21974455854059943,13.378896882494004,5.0,26.647361160473373,13.378896882494004,5.0,26.647361160473373,336.0
128,0.4110011358104819,0.005563153380774669,0.4165642891912566,13.070850202429149,6.0,19.97577076099391,13.070850202429149,6.0,19.97577076099391,175.0
131,0.11265385596068705,0.09735518416355671,0.21000904012424376,22.260416666666668,6.0,34.62214031261483,22.260416666666668,6.0,34.62214031261483,220.0
132,0.10361373171692821,0.0681486289144897,0.17176236063141792,23.37125748502994,20.0,23.263780544981906,23.37125748502994,20.0,23.263780544981906,126.0
134,0.14533738207273822,0.09735518416355671,0.24269256623629493,9.952674897119342,6.0,16.22044076485723,9.952674897119342,6.0,16.22044076485723,288.0
136,0.17663011983959576,0.07927493567603904,0.2559050555156348,32.328638497652584,14.0,43.41366670567873,32.328638497652584,14.0,43.41366670567873,232.0
137,0.03824667949282585,0.06745323474189287,0.10569991423471872,13.688888888888888,8.5,14.258443459106719,13.688888888888888,8.5,14.258443459106719,64.0
144,0.1655038130780464,0.0,0.1655038130780464,17.66951566951567,5.0,36.88287706461014,17.66951566951567,5.0,36.88287706461014,474.0
146,0.1634176305602559,0.009040124243758838,0.17245775480401473,12.44186046511628,8.0,14.214637600729219,12.44186046511628,8.0,14.214637600729219,130.0
148,0.05771771632553719,0.036855891147632186,0.09457360747316937,15.71311475409836,8.0,17.934525503965954,15.71311475409836,8.0,17.934525503965954,90.0
151,0.10848149092510605,0.0764933589856517,0.18497484991075774,8.452261306532664,4.0,11.606681597276765,8.452261306532664,4.0,11.606681597276765,91.0
153,0.11195846178809021,0.07093020560487703,0.18288866739296725,8.338129496402878,6.0,8.340666855805814,8.338129496402878,6.0,8.340666855805814,39.0
158,0.08970584826499153,0.01738485431492084,0.10709070257991238,28.57017543859649,11.5,48.09091705798501,28.57017543859649,11.5,48.09091705798501,355.0
160,0.15646368883428757,0.057022322152940355,0.21348601098722791,7.5536,4.0,9.41678963553928,7.5536,4.0,9.41678963553928,69.0
161,0.03546510280243852,0.04937298625437519,0.0848380890568137,8.83495145631068,4.0,11.25183660294581,8.83495145631068,4.0,11.25183660294581,66.0
162,0.036855891147632186,0.0034769708629841683,0.04033286201061635,90.41176470588235,43.0,116.74862831970607,90.41176470588235,43.0,116.74862831970607,399.0
163,0.006258547553371503,0.17593472566699891,0.1821932732203704,14.2,8.0,15.73192084055006,14.2,8.0,15.73192084055006,54.0
165,0.054240745462553024,0.14811895876312556,0.2023597042256786,6.628440366972477,3.0,8.224739941714219,6.628440366972477,3.0,8.224739941714219,45.0
166,0.07857954150344221,0.1634176305602559,0.2419971720636981,9.638059701492537,4.0,15.723816400778501,9.638059701492537,4.0,15.723816400778501,114.0
167,0.1967965508449039,0.00973551841635567,0.20653206926125958,8.206896551724139,4.0,10.07672576845707,8.206896551724139,4.0,10.07672576845707,85.0
169,0.3038872534248163,0.018775642660114507,0.3226628960849308,10.427716849451645,4.0,26.269815375673453,10.427716849451645,4.0,26.269815375673453,381.0
174,0.17454393732180523,0.0764933589856517,0.2510372963074569,5.174972314507198,3.0,6.940688000204089,5.174972314507198,3.0,6.940688000204089,60.0
176,0.11752161516886489,0.07579796481305487,0.19331957998191976,10.289017341040463,6.0,10.941396475672088,10.289017341040463,6.0,10.941396475672088,64.0
177,0.0764933589856517,0.021557219350501842,0.09805057833615353,136.52941176470588,115.0,138.81139029677848,136.52941176470588,115.0,138.81139029677848,458.0
182,0.18914721494633874,0.09457360747316937,0.28372082241950813,12.722457627118644,7.0,16.384071555621638,12.722457627118644,7.0,16.384071555621638,110.0
188,0.00973551841635567,0.004867759208177835,0.014603277624533506,10.290322580645162,6.0,12.21367173765926,10.290322580645162,6.0,12.21367173765926,46.0
191,0.06953941725968336,0.14394659372754456,0.21348601098722791,5.4,2.0,9.54335137965461,5.4,2.0,9.54335137965461,66.0
194,0.2913701583180733,0.0034769708629841683,0.29484712918105743,11.867324561403509,3.0,24.417713279285525,11.867324561403509,3.0,24.417713279285525,276.0
195,0.0,0.057022322152940355,0.057022322152940355,,,,,,,
196,0.05910850467073086,0.10222294337173454,0.1613314480424654,15.394160583941606,7.0,27.22261770672192,15.394160583941606,7.0,27.22261770672192,268.0
197,0.17732551401219257,0.04102825618321319,0.21835377019540575,6.798090040927694,3.0,10.502005091867014,6.798090040927694,3.0,10.502005091867014,107.0
198,0.004867759208177835,0.0027815766903873346,0.00764933589856517,15.0,13.0,12.823589374447563,15.0,13.0,12.823589374447563,43.0
199,0.09874597250875038,0.015994065969727175,0.11474003847847755,35.608247422680414,8.0,131.7956522522597,35.608247422680414,8.0,131.7956522522597,1290.0
200,0.1967965508449039,0.13768804617417307,0.33448459701907696,5.276595744680851,2.0,8.716664062740799,5.276595744680851,2.0,8.716664062740799,127.0
203,0.09040124243758837,0.04659140956398786,0.13699265200157623,7.188311688311688,3.0,10.908277257845036,7.188311688311688,3.0,10.908277257845036,112.0
204,0.3497832688162073,0.014603277624533506,0.3643865464407408,5.476221498371335,3.0,15.477016312306272,5.476221498371335,3.0,15.477016312306272,532.0
206,0.10848149092510605,0.0827519065390232,0.19123339746412926,5.843636363636364,3.0,7.120591488106579,5.843636363636364,3.0,7.120591488106579,56.0
207,0.1300387102756079,0.0027815766903873346,0.13282028696599524,11.474402730375427,3.0,20.128347390448443,11.474402730375427,3.0,20.128347390448443,139.0
208,0.047286803736584684,0.24686493127187595,0.29415173500846065,11.194630872483222,4.0,18.20932641499696,11.194630872483222,4.0,18.20932641499696,119.0
210,0.10083215502654087,0.03824667949282585,0.13907883451936673,16.064814814814813,10.0,17.92668874639572,16.064814814814813,10.0,17.92668874639572,116.0
212,0.19053800329153242,0.06745323474189287,0.2579912380334253,13.213615023474178,6.5,19.341601823789286,13.213615023474178,6.5,19.341601823789286,201.0
213,0.03894207366542268,0.06189008136111819,0.10083215502654087,6.424050632911392,3.5,10.341200811573307,6.424050632911392,3.5,10.341200811573307,114.0
215,0.14116501703715723,0.016689460142324006,0.15785447717948123,13.701183431952662,4.0,85.68413887881597,13.701183431952662,4.0,85.68413887881597,1568.0
216,0.12934331610301106,0.06745323474189287,0.19679655084490394,19.861751152073733,12.0,25.047406898223446,19.861751152073733,12.0,25.047406898223446,172.0
222,0.1383834403467699,0.018775642660114507,0.1571590830068844,7.102822580645161,4.0,12.288841979386374,7.102822580645161,4.0,12.288841979386374,210.0
